text_clean;text_tokens
baru instal menit lngsng hapus soalnya gak ada kota ku mungkin bisa tambahin kota lainya masa yang ada cuma kota kota tertentu aja;['baru', 'instal', 'menit', 'lngsng', 'hapus', 'soalnya', 'gak', 'ada', 'kota', 'ku', 'mungkin', 'bisa', 'tambahin', 'kota', 'lainya', 'masa', 'yang', 'ada', 'cuma', 'kota', 'kota', 'tertentu', 'aja']
sangat praktis dan bermanfaat thanks;['sangat', 'praktis', 'dan', 'bermanfaat', 'thanks']
nope buat pemesanan tiket udah di booking tinggal bayar aja tiba tiba keserobot orang lain kita yang kena saldo udah kepotong proses refund hari buat hubungin cst juga dibikin susah karena melalui email cobalah di aplikasi dikasih cst service juga dan bila udah keboking orang lain seharusnya pembayaran gagal sistem diperbaiki lahh;['nope', 'buat', 'pemesanan', 'tiket', 'udah', 'di', 'booking', 'tinggal', 'bayar', 'aja', 'tiba', 'tiba', 'keserobot', 'orang', 'lain', 'kita', 'yang', 'kena', 'saldo', 'udah', 'kepotong', 'proses', 'refund', 'hari', 'buat', 'hubungin', 'cst', 'juga', 'dibikin', 'susah', 'karena', 'melalui', 'email', 'cobalah', 'di', 'aplikasi', 'dikasih', 'cst', 'service', 'juga', 'dan', 'bila', 'udah', 'keboking', 'orang', 'lain', 'seharusnya', 'pembayaran', 'gagal', 'sistem', 'diperbaiki', 'lahh']
keren cepat banget buat pesan tiket bioskop di aplikasinya pertama kali pesan tiket online karena kepengen nonton film jumbo;['keren', 'cepat', 'banget', 'buat', 'pesan', 'tiket', 'bioskop', 'di', 'aplikasinya', 'pertama', 'kali', 'pesan', 'tiket', 'online', 'karena', 'kepengen', 'nonton', 'film', 'jumbo']
aplikasi kacau ini saya sudah pesen tiket terus tiba tiba di refund dan saldo nya pun belum masuk masuk kacau ni aplikasi;['aplikasi', 'kacau', 'ini', 'saya', 'sudah', 'pesen', 'tiket', 'terus', 'tiba', 'tiba', 'di', 'refund', 'dan', 'saldo', 'nya', 'pun', 'belum', 'masuk', 'masuk', 'kacau', 'ni', 'aplikasi']
proses refund yg berbelit dana refund saya sampai saat ini belum kembali padahal pembatalan dilakukan oleh pihak bioskop bukan pihak cust ayo bagaimana ini tix solusinya;['proses', 'refund', 'yg', 'berbelit', 'dana', 'refund', 'saya', 'sampai', 'saat', 'ini', 'belum', 'kembali', 'padahal', 'pembatalan', 'dilakukan', 'oleh', 'pihak', 'bioskop', 'bukan', 'pihak', 'cust', 'ayo', 'bagaimana', 'ini', 'tix', 'solusinya']
bagus gampang voucher langsung nyangkut lancar trus ga eror kaya sebelah;['bagus', 'gampang', 'voucher', 'langsung', 'nyangkut', 'lancar', 'trus', 'ga', 'eror', 'kaya', 'sebelah']
kenapa aku gak bisa beli tiket yg get ya;['kenapa', 'aku', 'gak', 'bisa', 'beli', 'tiket', 'yg', 'get', 'ya']
pas promo sering error terkadang udah waktunya promo dan masih awal waktu banyak kursi yg blm di booking tapi tidak muncul promonya;['pas', 'promo', 'sering', 'error', 'terkadang', 'udah', 'waktunya', 'promo', 'dan', 'masih', 'awal', 'waktu', 'banyak', 'kursi', 'yg', 'blm', 'di', 'booking', 'tapi', 'tidak', 'muncul', 'promonya']
saya mau daftar kok ga bisa weyy edit sudah bisa mantap;['saya', 'mau', 'daftar', 'kok', 'ga', 'bisa', 'weyy', 'edit', 'sudah', 'bisa', 'mantap']
buat emak gaptek yg mager ngantri jam tayang filmini ngebantu banget sihbisa pilih jam tayang pilah pilih film juga lewat hp tinggal geserklikpaymentudahaplikasinya juga mudah cakep;['buat', 'emak', 'gaptek', 'yg', 'mager', 'ngantri', 'jam', 'tayang', 'filmini', 'ngebantu', 'banget', 'sihbisa', 'pilih', 'jam', 'tayang', 'pilah', 'pilih', 'film', 'juga', 'lewat', 'hp', 'tinggal', 'geserklikpaymentudahaplikasinya', 'juga', 'mudah', 'cakep']
